DATE,HOMETEAM,PTS,FGA,FG%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,AWAYTEAM,PTS,FGA,FG%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,CLASS
10/21/2018,DEN,100,86,0.407,32,0.188,42,0.571,47,21,11,4,8,22,GSW,98,79,0.456,29,0.241,24,0.792,40,22,4,6,18,29,1
10/21/2018,LAC,115,89,0.472,25,0.2,26,1,49,22,8,7,13,16,HOU,112,89,0.483,35,0.429,15,0.733,35,28,6,6,12,23,1
10/22/2018,BOS,90,91,0.407,40,0.225,9,0.778,51,21,6,3,12,15,ORL,93,93,0.409,35,0.286,10,0.7,49,28,6,2,9,15,-1
10/22/2018,TOR,127,87,0.575,39,0.385,15,0.857,46,36,10,8,13,21,CHA,106,97,0.423,28,0.321,18,0.833,41,21,5,5,12,14,1
10/22/2018,MIL,124,96,0.469,40,0.425,24,0.708,55,29,5,9,14,18,NYK,113,99,0.455,29,0.345,15,0.867,43,22,6,2,11,21,1
10/22/2018,MIN,101,85,0.424,33,0.212,24,0.917,47,24,9,12,15,17,IND,91,92,0.361,26,0.308,16,0.688,45,18,6,6,15,24,1
10/22/2018,DAL,115,93,0.43,47,0.319,21,0.952,41,25,8,2,15,16,CHI,109,80,0.513,23,0.565,21,0.667,34,18,6,4,19,29,1
10/22/2018,UTA,84,82,0.354,32,0.25,23,0.783,50,18,6,6,15,22,MEM,92,84,0.369,28,0.321,26,0.808,43,18,10,2,10,22,-1
10/22/2018,POR,124,108,0.398,39,0.282,31,0.871,70,22,6,4,19,22,WAS,125,110,0.418,37,0.405,26,0.692,54,23,6,7,10,27,-1
10/22/2018,GSW,123,88,0.511,37,0.378,26,0.731,40,35,12,4,14,24,PHX,103,86,0.453,34,0.265,18,0.889,45,24,8,1,21,21,1
10/22/2018,LAL,142,107,0.514,39,0.359,26,0.692,52,33,5,6,15,29,SAS,143,97,0.515,28,0.536,38,0.737,47,32,9,3,9,26,-1
10/23/2018,DET,133,108,0.472,33,0.364,27,0.704,46,22,4,4,8,24,PHI,132,98,0.5,43,0.326,28,0.714,48,32,3,8,11,24,1
10/23/2018,NOP,116,93,0.43,24,0.25,40,0.75,48,22,12,8,8,24,LAC,116,87,0.471,20,0.25,27,0.815,47,18,5,4,16,26,1
10/23/2018,DEN,126,99,0.515,30,0.367,15,0.867,49,31,11,3,12,22,SAC,112,86,0.523,31,0.419,20,0.45,39,29,7,6,16,17,1
10/24/2018,ATL,111,91,0.407,38,0.395,31,0.71,54,28,6,6,15,26,DAL,104,91,0.418,40,0.3,26,0.615,52,25,7,9,17,27,1
10/24/2018,CLE,86,89,0.382,18,0.167,16,0.938,53,18,5,2,15,19,BKN,102,87,0.437,34,0.412,15,0.8,44,23,8,1,14,16,-1
10/24/2018,MIA,110,82,0.476,29,0.448,28,0.679,51,24,7,5,13,15,NYK,87,91,0.363,33,0.364,14,0.643,45,20,5,3,12,23,1
10/24/2018,TOR,112,89,0.517,32,0.344,12,0.75,44,26,9,8,16,18,MIN,105,96,0.417,30,0.5,16,0.625,44,25,10,5,15,17,1
10/24/2018,CHI,112,77,0.481,29,0.345,35,0.8,45,21,4,5,14,24,CHA,110,85,0.435,35,0.286,29,0.897,36,23,5,5,6,20,1
10/24/2018,HOU,89,87,0.402,40,0.275,14,0.571,35,16,12,5,15,23,UTA,100,78,0.436,29,0.345,28,0.786,47,21,7,5,18,21,-1
10/24/2018,SAS,96,87,0.402,19,0.316,21,0.952,46,16,3,3,13,16,IND,116,87,0.529,32,0.531,8,0.875,40,34,9,5,10,22,-1
10/24/2018,MIL,123,100,0.41,43,0.302,30,0.933,51,24,7,10,11,27,PHI,108,92,0.413,34,0.324,30,0.7,50,29,4,5,16,21,1
10/24/2018,PHX,113,84,0.524,31,0.323,21,0.714,44,27,4,4,19,23,LAL,131,100,0.52,28,0.357,23,0.739,43,34,13,5,8,19,-1
10/24/2018,SAC,97,83,0.422,18,0.333,33,0.636,57,19,7,5,14,15,MEM,92,94,0.383,37,0.27,13,0.769,49,18,7,6,15,25,1
10/24/2018,GSW,144,92,0.576,33,0.455,25,0.92,48,37,6,5,15,22,WAS,122,93,0.452,42,0.286,28,0.929,34,22,7,1,12,24,1
10/25/2018,DET,110,78,0.526,28,0.393,29,0.586,48,21,4,5,20,21,CLE,103,89,0.461,24,0.333,15,0.867,30,18,11,1,9,25,1
10/25/2018,ORL,114,86,0.5,30,0.4,20,0.8,40,29,5,7,14,21,POR,128,87,0.552,27,0.407,26,0.808,44,24,6,6,10,22,-1
10/25/2018,OKC,95,94,0.394,28,0.25,25,0.56,57,19,5,6,16,27,BOS,101,86,0.384,32,0.344,33,0.727,45,17,7,1,11,27,-1
10/25/2018,LAL,121,92,0.5,29,0.345,23,0.826,42,27,13,3,13,19,DEN,114,92,0.5,23,0.261,20,0.8,44,22,8,5,19,22,1
10/26/2018,CHA,135,93,0.57,32,0.438,16,0.938,50,30,10,10,10,18,CHI,106,85,0.435,36,0.444,22,0.727,34,21,5,7,13,16,1
10/26/2018,NYK,100,90,0.433,39,0.333,12,0.75,40,17,6,1,19,18,GSW,128,87,0.586,33,0.485,12,0.833,39,26,10,6,14,16,-1
10/26/2018,TOR,116,91,0.484,27,0.307,20,0.85,50,23,10,5,12,22,DAL,107,92,0.413,30,0.4,24,0.792,44,22,6,6,14,17,1
10/26/2018,HOU,113,98,0.388,41,0.366,25,0.88,42,21,11,7,13,27,LAC,133,79,0.544,23,0.522,38,0.921,44,17,8,4,15,21,-1
10/26/2018,MIN,95,112,0.321,43,0.233,18,0.722,49,19,10,6,7,15,MIL,125,92,0.533,46,0.423,11,0.727,62,32,4,8,17,23,-1
10/26/2018,NOP,117,98,0.449,23,0.391,26,0.769,46,23,11,11,11,20,BKN,115,98,0.439,40,0.475,15,0.667,54,26,6,8,18,22,1
10/26/2018,SAC,116,95,0.463,37,0.378,23,0.609,53,25,8,4,18,18,WAS,112,86,0.465,42,0.333,23,0.783,42,22,8,7,21,27,1
10/27/2018,DET,89,89,0.371,37,0.189,20,0.8,47,16,4,3,11,24,BOS,109,86,0.453,34,0.412,25,0.68,54,25,4,8,13,26,-1
10/27/2018,NOP,111,95,0.421,34,0.265,29,0.759,40,22,4,5,16,32,UTA,132,88,0.523,32,0.313,37,0.811,43,32,7,7,13,26,-1
10/27/2018,ATL,85,84,0.321,40,0.3,23,0.826,48,20,9,8,22,13,CHI,97,83,0.434,33,0.364,16,0.813,52,25,14,6,20,21,-1
10/27/2018,CLE,107,86,0.465,25,0.28,22,0.909,39,21,9,2,15,20,IND,119,74,0.649,13,0.385,26,0.692,24,28,13,3,15,15,-1
10/27/2018,PHI,105,91,0.385,28,0.357,30,0.833,56,18,4,8,11,23,CHA,103,95,0.389,35,0.257,24,0.833,48,19,3,8,9,25,1
10/27/2018,MEM,117,79,0.557,26,0.346,22,0.909,39,30,12,1,12,21,PHX,96,78,0.462,33,0.273,19,0.789,35,28,5,1,19,25,1
10/27/2018,MIA,120,96,0.458,39,0.385,26,0.654,56,21,7,8,12,21,POR,111,88,0.42,33,0.364,28,0.893,42,14,7,8,9,25,1
